D1,D19,D31,D40,D49,D61,D28,D58
-62.9689,-172.5644,-178.5604,-176.9581,-65.8567,-177.0064,109.2965,-75.663
62.1128,60.7625,169.9828,65.4711,179.4403,-66.1155,80.8437,176.327
62.507,61.1468,170.3746,65.1129,176.515,179.9272,88.0914,85.5164
176.1206,-70.2999,-175.9366,176.16,62.762,61.7954,151.6675,-85.9949
176.6371,-68.7097,-170.5646,-65.0028,-173.3587,-65.3563,151.6675,-85.9831
62.6198,61.1943,174.1429,176.6352,65.7015,177.0438,88.2244,85.4992
71.1463,-174.9434,72.0554,177.9603,177.0287,65.314,83.7251,86.3002
-60.1682,-170.878,-178.1107,-175.8916,-62.299,-61.9079,83.4863,86.4073
-61.1347,-62.6256,-169.8315,-64.6546,-176.5643,-179.9152,146.8361,-85.556
71.432,-174.2676,73.0567,178.532,-176.2288,-65.3094,83.951,86.5592
71.2564,-174.9077,71.1302,66.7377,176.5685,-179.8831,83.867,86.637
69.7799,-175.1082,177.3336,65.91,173.0331,65.3677,85.106,86.1058
178.2109,-67.157,-178.0674,66.8163,176.5355,179.9945,124.087,76.1088
171.6045,60.4948,168.6688,62.163,62.6959,176.044,152.0103,-86.4017
58.6714,58.4608,175.4613,-67.8859,-176.5727,179.9943,148.0948,-85.5411
70.102,-175.0558,-174.7362,-65.8996,-179.4018,66.1113,85.1254,85.9927
173.0322,62.8984,173.7433,179.6419,-177.3156,-65.5392,125.9813,75.9683
177.5215,-65.2157,-59.5721,-61.1173,-177.9992,66.31,151.7816,-179.5681
62.4928,61.0287,174.0305,179.6019,-177.3196,-65.5219,88.0757,85.5164
69.5404,177.8279,63.1438,174.971,179.4997,179.8595,-62.6336,-178.6853
-60.4959,-63.3591,-178.2278,63.4096,62.2563,175.6769,152.5321,-177.0871
62.6028,61.1184,173.9554,179.6236,176.5981,65.4394,88.1114,85.4996
172.9527,62.9502,173.6532,-177.0858,-66.5254,-176.7326,126.055,75.9573
171.5241,59.9869,172.4663,175.6625,62.2851,62.147,151.6149,-86.453
-62.9264,-172.1247,177.8217,65.9973,176.3692,179.9016,109.571,-75.7277
-60.0469,-170.2803,179.2915,62.6949,60.823,175.3598,83.6407,86.4143
-60.0962,-171.0217,-174.6842,-65.4998,-173.3543,-65.4049,83.5879,86.3813
178.5277,-177.8969,-175.2767,-62.2035,-59.6551,-61.6603,117.8211,-179.9796
71.5205,-174.729,72.1142,173.1071,65.6092,177.0714,82.992,85.9284
178.793,-176.7375,179.1183,61.9776,58.1052,61.2051,117.842,-179.8371
171.6462,60.3089,168.88,65.0307,173.3735,65.3609,152.097,-86.4365
-60.178,-59.564,-62.2796,-174.9065,-176.76,-65.2944,152.8977,-176.8334
-60.1956,-171.236,-178.8894,175.7982,62.6585,61.8992,83.6121,86.3362
-61.0974,-62.925,-173.7514,-179.4309,177.2188,65.5475,146.6789,-85.465
176.5658,-68.4684,-169.8601,-65.0082,-179.3079,66.1865,151.665,-86.1342
175.3046,-72.4937,178.0806,62.2414,61.9829,175.6659,151.8308,-85.8047
-60.1697,-58.8907,-59.3398,-61.0746,-175.5756,-179.8081,153.0698,-176.8158
-62.6565,-173.0329,71.2386,178.2529,-179.7922,179.9267,107.9307,-75.8037
177.3237,178.7152,62.9661,175.191,176.301,65.279,-63.3129,-178.256
-60.5504,-63.365,-177.4474,66.9314,173.1201,65.3509,152.5416,-177.1463
